stop_id,at_street,corner_placement,heading,location_type,on_street,parent_station,stop_code,stop_desc,stop_lat,stop_lon,stop_name,stop_position,stop_timezone,stop_url,wheelchair_boarding,zone_id
628,Carpenter,SE,31,0,Lamar,,628,008911 Lamar & Carpenter,30.358138,-97.699627,8911 Lamar/Carpenter,N,,https://www.capmetro.org/stopdetail/index.php?stop=628,0,
6280,Duval,SE,122,0,38Th,,6280,000416 38Th & Duval,30.298511,-97.729686,416 38th/Duval,F,,https://www.capmetro.org/stopdetail/index.php?stop=6280,0,
6281,Red River,NW,257,0,38Th Half,,6281,000813 38Th Half & Red River,30.296535,-97.723448,813 38th Half/Red River,F,,https://www.capmetro.org/stopdetail/index.php?stop=6281,0,
6282,Red River,SW,77,0,38Th Half,,6282,000814 38Th Half & Red River,30.296361,-97.723433,814 38th Half/Red River,N,,https://www.capmetro.org/stopdetail/index.php?stop=6282,0,
6285,Cherrywood,SW,119,0,38Th Half,,6285,001612 38Th Half & Cherrywood,30.291761,-97.713782,1612 38th Half/Cherrywood,N,,https://www.capmetro.org/stopdetail/index.php?stop=6285,0,
6286,Brookview,NW,298,0,38Th Half,,6286,001801 38Th Half & Brookview,30.29042,-97.710641,1801 38th Half/Brookview,F,,https://www.capmetro.org/stopdetail/index.php?stop=6286,0,
6288,Airport,NW,271,0,38Th Half,,6288,001827 38Th Half & Airport,30.28924,-97.707815,1827 38th Half/Airport,F,,https://www.capmetro.org/stopdetail/index.php?stop=6288,0,
6289,Greenwood,SE,50,0,Manor,,6289,003504 Manor & Greenwood,30.288022,-97.700453,3504 Manor/Greenwood,N,,https://www.capmetro.org/stopdetail/index.php?stop=6289,0,
6290,Airport,SE,84,0,38Th Half,,6290,001906 38Th Half & Airport,30.289159,-97.706708,1906 38th Half/Airport,F,,https://www.capmetro.org/stopdetail/index.php?stop=6290,0,
6291,Tom Miller,NW,169,0,Berkman,,6291,003803 Berkman & Tom Miller,30.290214,-97.699019,3803 Berkman/Tom Miller,N,,https://www.capmetro.org/stopdetail/index.php?stop=6291,0,
6292,Simond,SE,359,0,Berkman,,6292,004310 Berkman & Simond,30.296343,-97.700088,4310 Berkman/Simond,N,,https://www.capmetro.org/stopdetail/index.php?stop=6292,0,
6293,Simond,SW,179,0,Berkman,,6293,004307 Berkman & Simond,30.296149,-97.700385,4307 Berkman/Simond,F,,https://www.capmetro.org/stopdetail/index.php?stop=6293,0,
6294,Westmoor,SE,29,0,Berkman,,6294,005304 Berkman & Westmoor,30.306662,-97.697044,5304 Berkman/Westmoor,M,,https://www.capmetro.org/stopdetail/index.php?stop=6294,0,
6295,Broadmoor,NW,209,0,Berkman,,6295,005305 Berkman & Broadmoor,30.306736,-97.697201,5305 Berkman/Broadmoor,M,,https://www.capmetro.org/stopdetail/index.php?stop=6295,0,
6296,Springdale,NW,302,0,51St,,6296,004281 51St & Springdale,30.293984,-97.678299,4281 51st/Springdale,F,,https://www.capmetro.org/stopdetail/index.php?stop=6296,0,
6297,51St,SW,203,0,Springdale,,6297,004434 Springdale & 51St,30.293146,-97.67813,4918 Springdale/51st,F,,https://www.capmetro.org/stopdetail/index.php?stop=6297,0,
6298,Pecan Springs,NE,301,0,51St,,6298,003105 51St & Pecan Springs,30.295788,-97.682118,3105 51st/Pecan Springs,N,,https://www.capmetro.org/stopdetail/index.php?stop=6298,0,
6299,Pecan Springs,SW,121,0,51St,,6299,003114 51St & Pecan Springs,30.295377,-97.681784,3114 51st/Pecan Springs,N,,https://www.capmetro.org/stopdetail/index.php?stop=6299,0,
6300,Manor,SE,121,0,51St,,6300,002908 51St & Manor,30.298024,-97.686908,2785 51st/Manor,F,,https://www.capmetro.org/stopdetail/index.php?stop=6300,0,
6301,Manor,NW,302,0,51St,,6301,002901 51St & Manor,30.298344,-97.687272,2760 51st/Manor,F,,https://www.capmetro.org/stopdetail/index.php?stop=6301,0,
6303,Berkman,SE,141,0,51St,,6303,001828 51St & Berkman,30.302821,-97.698114,1828 51st/HEB,F,,https://www.capmetro.org/stopdetail/index.php?stop=6303,0,
6306,Duval,NE,300,0,st Johns,,6306,000467 st Johns & Duval,30.334122,-97.706753,467 St Johns/Duval,N,,https://www.capmetro.org/stopdetail/index.php?stop=6306,0,
6307,Roland Johnson,SW,120,0,st Johns,,6307,000576 st Johns & Roland Johnson,30.33382,-97.706498,576 St Johns/Roland Johnson,M,,https://www.capmetro.org/stopdetail/index.php?stop=6307,0,
6309,Pleasant Valley,NW,303,0,Teri,,6309,004509 Teri & Pleasant Valley,30.197276,-97.744457,4509 Teri/Pleasant Valley,F,,https://www.capmetro.org/stopdetail/index.php?stop=6309,0,
6310,Bellvue,NE,299,0,45Th,,6310,001012 45Th & Bellvue,30.314514,-97.739579,1115 45th/Bellvue,F,,https://www.capmetro.org/stopdetail/index.php?stop=6310,0,
6311,Pleasant Valley,SW,123,0,Teri,,6311,004512 Teri & Pleasant Valley,30.197005,-97.744449,4512 Teri/Pleasant Valley,N,,https://www.capmetro.org/stopdetail/index.php?stop=6311,0,
6312,Palo Blanco,SW,141,0,Teri,,6312,002332 Teri & Palo Blanco,30.198303,-97.746902,2332 Teri/Palo Blanco,F,,https://www.capmetro.org/stopdetail/index.php?stop=6312,0,
6313,Spruce,NW,298,0,Teri,,6313,002303 Teri & Spruce,30.200146,-97.749038,2303 Teri/Spruce,F,,https://www.capmetro.org/stopdetail/index.php?stop=6313,0,
6314,Colorado,SE,108,0,7Th,,6314,000115 7Th & Colorado,30.269057,-97.743048,115 7th/Colorado,M,,https://www.capmetro.org/stopdetail/index.php?stop=6314,0,
6315,8Th,NE,16,0,Trinity,,6315,000714 Trinity & 8Th,30.269216,-97.738446,805 Trinity/8th,F,,https://www.capmetro.org/stopdetail/index.php?stop=6315,0,
6316,Harper Park,NE,257,0,290 Hwy,,6316,005976 290 Hwy & Harper Park,30.235923,-97.850974,5976 290 Hwy/Harper Park,N,,https://www.capmetro.org/stopdetail/index.php?stop=6316,0,
6317,Monterey Oaks,SE,90,0,290 Hwy,,6317,005411 290 Hwy & Monterey Oaks,30.236059,-97.838517,5411 290 Hwy/Monterey Oaks,F,,https://www.capmetro.org/stopdetail/index.php?stop=6317,0,
