route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2024_08_12-DX-MVS-Weekday-001,1561570,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561523,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561571,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561524,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561572,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561525,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561582,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561526,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561573,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561527,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561583,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561528,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561574,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561529,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561575,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561530,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561576,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561532,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561577,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561533,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561584,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561534,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561578,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561531,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561579,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561535,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
